time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2109, 784, 9.998186, 0.134075, -0.174777, -0.018386, 0.248343, -0.111914, 23.382940
2119, 871, 10.156203, 0.019154, -0.062249, 0.045565, 0.189988, -0.109250, 23.371176
2129, 1410, 10.295067, -0.083797, -0.081403, 0.048763, 0.090597, -0.104986, 23.350588
2139, 1303, 10.354922, 0.067038, 0.028730, 0.082070, -0.030110, -0.098058, 23.353529
2149, 1776, 10.266336, -0.038307, -0.141258, 0.118842, -0.149752, -0.087400, 23.344706
2159, 2395, 10.022128, -0.033519, -0.466869, 0.133498, -0.207308, -0.077807, 23.344706
2169, 2000, 9.734824, 0.033519, -0.531513, 0.148420, -0.163075, -0.082070, 23.362352
2179, 1324, 9.560047, 0.069432, -0.593762, 0.179862, -0.055158, -0.086334, 23.356470
2189, 819, 9.598354, 0.088585, -0.569820, 0.203311, 0.059421, -0.090064, 23.368235
2199, 776, 9.696517, 0.069432, -0.454898, 0.225427, 0.162009, -0.100989, 23.368235
2209, 304, 9.928755, 0.031125, -0.421380, 0.235553, 0.203577, -0.095926, 23.353529
2219, 644, 10.170568, -0.014365, -0.313640, 0.255538, 0.159877, -0.088466, 23.341764
2229, 815, 9.952697, -0.189142, -0.500388, 0.228625, 0.112447, -0.081538, 23.365294
2239, 139, 9.641450, -0.067038, -0.861913, 0.175865, 0.163874, -0.061819, 23.368235
2249, 1067, 9.421184, 0.260968, -1.103727, 0.193452, 0.305366, -0.030110, 23.359411
2259, 1067, 9.402030, 0.545878, -1.386243, 0.297372, 0.466576, -0.002931, 23.350588
2269, 791, 9.538500, 0.670376, -1.412579, 0.436998, 0.589948, 0.013057, 23.356470
2279, 877, 9.548077, 0.591368, -1.118092, 0.529194, 0.644306, 0.012257, 23.362352
2289, 929, 9.375694, 0.507571, -0.636858, 0.484429, 0.701329, -0.004263, 23.356470
2299, 922, 9.234436, 0.426168, 0.069432, 0.342138, 0.809247, -0.035173, 23.353529
2309, 965, 9.172187, 0.344765, 0.660800, 0.219299, 0.920628, -0.077274, 23.353529
2319, 926, 9.349358, 0.268151, 0.924162, 0.159611, 0.976851, -0.110582, 23.365294
2329, 1007, 9.761160, 0.105345, 0.919373, 0.139626, 0.948340, -0.128435, 23.368235
2339, 1058, 10.189722, -0.031125, 0.869095, 0.145222, 0.829764, -0.135896, 23.356470
2349, 1057, 10.477027, -0.086191, 0.809240, 0.167605, 0.659761, -0.131632, 23.379999
2359, 1063, 10.596737, -0.026336, 0.854730, 0.189721, 0.484162, -0.119908, 23.379999
2369, 1088, 10.560823, 0.079009, 1.010353, 0.214769, 0.327482, -0.111648, 23.362352
2379, 1101, 10.366894, 0.174777, 1.077391, 0.246744, 0.188389, -0.103121, 23.350588
2389, 1150, 10.139444, 0.284910, 0.938527, 0.282983, 0.077541, -0.096726, 23.359411
2399, 1200, 9.873688, 0.383072, 0.646434, 0.320821, 0.009593, -0.087133, 23.356470
2409, 1227, 9.682152, 0.407014, 0.373495, 0.352796, -0.002398, -0.076741, 23.359411
2441, 2074, 9.746795, 0.399832, 0.289698, 0.433002, 0.096726, -0.025314, 23.388824
2452, 1673, 9.844957, 0.308852, 0.232238, 0.467642, 0.071145, -0.007194, 23.371176
